Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Nicholas Abruzzese\abruzni01,22,TOR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,9:05,0,0,0,0,
2,Noel Acciari\acciano01,30,FLA,C,14,1,4,5,2,4,0.3,1,0,0,1,4,0,0,19,5.3,155,11:03,8,35,56,55,50.5
3,Calen Addison\addisca01,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,13:47,6,12,0,0,
4,Andrew Agozzino\agozzan01,31,OTT,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:52,0,4,1,2,33.3
5,Jack Ahcan\ahcanja01,24,BOS,D,5,1,0,1,-2,0,0.1,0,1,0,0,0,0,0,4,25,74,14:48,3,6,0,0,
6,Sebastian Aho\ahose01,24,CAR,F,66,31,38,69,16,36,8.2,17,13,1,7,23,13,2,189,16.4,1259,19:04,20,68,447,427,51.1
7,Sebastian Aho\ahose02,25,NYI,D,29,1,9,10,-8,8,1.1,1,0,0,0,7,2,0,32,3.1,486,16:46,38,23,0,0,
8,Alexander Alexeyev\alexeal01,22,WSH,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,11,10:35,0,1,0,0,
9,Wade Allison\alliswa01,24,PHI,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,8,8:16,0,1,0,0,
10,Michael Amadio\amadimi01,25,TOT,C,45,8,6,14,-2,13,1.2,8,0,0,2,6,0,0,49,16.3,534,11:52,13,31,21,34,38.2
10,Michael Amadio\amadimi01,25,VEG,C,42,8,6,14,-3,13,1.2,8,0,0,2,6,0,0,47,17,506,12:04,13,28,21,32,39.6
10,Michael Amadio\amadimi01,25,TOR,C,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,27,9:10,0,3,0,2,0
11,Joey Anderson\anderjo08,23,TOR,RW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,8,0,31,7:47,0,2,0,0,
12,Josh Anderson\anderjo05,27,MTL,RW,56,17,10,27,-22,55,2,16,1,0,1,9,1,0,122,13.9,968,17:17,28,121,14,17,45.2
13,Michael Anderson\andermi02,22,LAK,D,55,2,5,7,5,6,2.4,2,0,0,1,5,0,0,56,3.6,1105,20:05,66,127,0,0,
14,Jaret Anderson-Dolan\anderja01,22,LAK,C,7,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,5,0,97,13:47,3,12,9,7,56.3
15,Lias Andersson\anderli01,23,LAK,C,18,0,1,1,-6,12,-0.4,0,0,0,0,0,1,0,23,0,196,10:54,2,21,18,22,45
16,Rasmus Andersson\anderra01,25,CGY,D,68,4,38,42,21,18,7.1,2,2,0,1,23,14,1,124,3.2,1533,22:33,110,45,0,0,
17,Andy Andreoff\andrean01,30,NYI,LW,5,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,49,9:52,1,8,6,3,66.7
18,Anthony Angello\angelan01,25,PIT,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,5:57,0,5,0,1,0
19,Mason Appleton\applema01,26,TOT,C,56,7,11,18,-2,26,1.2,7,0,0,2,11,0,0,77,9.1,806,14:24,15,50,7,13,35
19,Mason Appleton\applema01,26,SEA,C,49,6,11,17,-4,14,1.1,6,0,0,2,11,0,0,68,8.8,701,14:18,12,39,7,13,35
19,Mason Appleton\applema01,26,WPG,C,7,1,0,1,2,12,0.1,1,0,0,0,0,0,0,9,11.1,106,15:05,3,11,0,0,
20,Josh Archibald\archijo01,29,EDM,RW,7,0,1,1,-3,7,-0.1,0,0,0,0,1,0,0,3,0,59,8:26,2,23,2,1,66.7
21,Joel Armia\armiajo01,28,MTL,RW,53,4,8,12,-17,14,-0.2,2,1,1,0,6,2,0,85,4.7,724,13:39,23,95,2,12,14.3
22,Viktor Arvidsson\arvidvi01,28,LAK,LW,56,19,22,41,2,22,4.7,15,4,0,3,18,4,0,203,9.4,957,17:05,41,19,12,14,46.2
23,Rasmus Asplund\asplura01,24,BUF,F,68,6,17,23,-11,8,1,3,2,1,1,15,2,0,113,5.3,991,14:34,13,21,25,33,43.1
24,Zach Aston-Reese\astonza01,27,TOT,C,58,3,10,13,9,24,0.7,3,0,0,0,10,0,0,64,4.7,756,13:02,35,205,3,2,60
24,Zach Aston-Reese\astonza01,27,PIT,C,52,2,9,11,8,22,0.5,2,0,0,0,9,0,0,52,3.8,672,12:55,32,187,3,2,60
24,Zach Aston-Reese\astonza01,27,ANA,C,6,1,1,2,1,2,0.2,1,0,0,0,1,0,0,12,8.3,85,14:08,3,18,0,0,
25,Andreas Athanasiou\athanan01,27,LAK,C,22,9,5,14,2,2,1.9,9,0,0,3,4,1,0,51,17.6,323,14:41,6,7,7,5,58.3
26,Cam Atkinson\atkinca01,32,PHI,RW,69,23,27,50,2,10,5.3,18,2,3,6,24,3,0,206,11.2,1275,18:29,44,18,4,11,26.7
