Player,Tm,Salary,Cap Hit,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH,Pos_C,Pos_D,Pos_LW,Pos_RW,,,
Mikko Rantanen,COL,10000000,9250000,25,66,35,47,82,32,54,9.9,19,16,0,2,31,16,0,233,15,1383,38,50,136,163,45.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
Jack Eichel,VEG,10000000,10000000,25,23,9,8,17,2,8,1.9,6,3,0,2,4,4,0,89,10.1,438,28,28,121,114,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,
Blake Wheeler,WPG,10000000,8250000,35,56,12,42,54,-6,32,4.3,10,2,0,1,26,16,0,134,9,1113,32,56,3,13,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,
Jeff Skinner,BUF,10000000,9000000,29,68,28,22,50,-12,22,5.5,23,5,0,3,17,5,0,221,12.7,1171,17,22,74,105,41.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Vladimir Tarasenko,STL,9500000,7500000,30,61,23,36,59,-3,26,5.9,18,5,0,5,22,13,1,191,12,1043,40,70,4,7,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,
Oliver Ekman-Larsson,VAN,9240000,7260000,30,67,4,17,21,1,44,4.2,2,2,0,0,13,4,0,150,2.7,1500,65,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,
Justin Faulk,STL,9000000,6500000,29,62,9,25,34,30,41,7.1,8,1,0,3,20,5,0,132,6.8,1436,89,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,
Sidney Crosby,PIT,9000000,8700000,34,58,26,46,72,14,24,8.1,18,8,0,7,26,20,0,173,15,1151,29,45,614,571,51.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Anders Lee,NYI,9000000,7000000,31,62,25,16,41,-5,28,4.8,17,8,0,2,12,4,0,129,19.4,1031,21,74,63,66,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Kevin Hayes,PHI,9000000,7142857,29,35,8,16,24,-10,16,1.9,6,2,0,1,14,1,1,78,10.3,600,10,28,188,247,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
